date,state,region,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
2020-03-29,Texas,Young County,-18,-4,,,-28,
2020-03-29,Texas,Zapata County,-42,-19,,,-44,
2020-03-29,Texas,Zavala County,-49,-25,,,-31,
2020-03-29,Utah,Total,-41,-14,26,-44,-40,10
2020-03-29,Utah,Beaver County,-58,,,-26,-23,
2020-03-29,Utah,Box Elder County,-28,-24,13,-5,-36,15
2020-03-29,Utah,Cache County,-33,-3,66,-7,-39,10
2020-03-29,Utah,Carbon County,-22,2,,,-30,
2020-03-29,Utah,Davis County,-39,-1,48,-15,-41,10
2020-03-29,Utah,Duchesne County,-25,1,,,-11,
2020-03-29,Utah,Emery County,-45,6,,,-16,
2020-03-29,Utah,Garfield County,,,13,,,
2020-03-29,Utah,Grand County,-48,-1,-18,,-22,
2020-03-29,Utah,Iron County,-43,-49,,-16,-38,16
2020-03-29,Utah,Juab County,-32,-15,,-13,-23,
2020-03-29,Utah,Kane County,-25,-6,21,,-33,
2020-03-29,Utah,Millard County,-23,72,,,-14,
2020-03-29,Utah,Morgan County,-31,-13,,,-42,
2020-03-29,Utah,Salt Lake County,-46,-16,16,-62,-38,11
2020-03-29,Utah,San Juan County,-21,60,-7,,-33,
2020-03-29,Utah,Sanpete County,-4,0,,,-36,
2020-03-29,Utah,Sevier County,-19,2,,-9,-25,
2020-03-29,Utah,Summit County,-84,-65,-47,-59,-76,6
2020-03-29,Utah,Tooele County,-22,-11,,-18,-30,11
2020-03-29,Utah,Uintah County,-18,-4,-20,,-37,5
2020-03-29,Utah,Utah County,-36,-11,54,13,-50,11
2020-03-29,Utah,Wasatch County,-48,-30,-6,,-60,4
2020-03-29,Utah,Washington County,-38,-10,-2,-22,-39,9
2020-03-29,Utah,Weber County,-32,-17,76,-8,-31,8
2020-03-29,Vermont,Total,-62,-42,-55,-71,-43,13
2020-03-29,Vermont,Addison County,-55,-38,,,-35,6
2020-03-29,Vermont,Bennington County,-62,-29,-23,,-40,8
2020-03-29,Vermont,Caledonia County,-67,-44,,,-30,2
2020-03-29,Vermont,Chittenden County,-61,-53,-50,-57,-46,14
2020-03-29,Vermont,Essex County,,,,,-37,
2020-03-29,Vermont,Franklin County,-52,-27,,,-28,22
2020-03-29,Vermont,Grand Isle County,,,,-60,-49,
2020-03-29,Vermont,Lamoille County,-79,-45,,-40,-58,
2020-03-29,Vermont,Orange County,-73,-33,,-66,-31,1
2020-03-29,Vermont,Orleans County,-52,-31,-46,,-32,0
2020-03-29,Vermont,Rutland County,-59,-33,,-77,-47,21
2020-03-29,Vermont,Washington County,-65,-45,,,-41,23
2020-03-29,Vermont,Windham County,-76,-43,-38,,-47,15
2020-03-29,Vermont,Windsor County,-67,-50,-63,-60,-49,22
2020-03-29,Virginia,Total,-39,-16,46,-50,-36,11
2020-03-29,Virginia,Accomack County,-30,-18,,,-26,13
2020-03-29,Virginia,Albemarle County,-50,-30,36,-55,-47,23
2020-03-29,Virginia,Alexandria,-54,-22,49,-58,-44,16
2020-03-29,Virginia,Alleghany County,-32,,,-12,-23,
2020-03-29,Virginia,Amelia County,-31,-18,,,-35,
2020-03-29,Virginia,Amherst County,-9,-7,,,-23,8
2020-03-29,Virginia,Appomattox County,-20,2,,,-30,
2020-03-29,Virginia,Arlington County,-62,-32,8,-82,-50,16
2020-03-29,Virginia,Augusta County,-39,-16,-22,52,-22,8
2020-03-29,Virginia,Bath County,,,-70,,,
2020-03-29,Virginia,Bedford County,-27,-8,,,-34,14
2020-03-29,Virginia,Bland County,,,,-19,-32,
2020-03-29,Virginia,Botetourt County,-59,-11,,-20,-44,14
2020-03-29,Virginia,Bristol,-20,-12,,,-32,
2020-03-29,Virginia,Brunswick County,-37,,,-50,-11,
2020-03-29,Virginia,Buchanan County,-18,6,,,-29,
2020-03-29,Virginia,Buckingham County,-7,-3,,,-22,
2020-03-29,Virginia,Buena Vista,-31,-14,,,-38,
2020-03-29,Virginia,Campbell County,-26,-13,,,-33,13
2020-03-29,Virginia,Caroline County,-42,-20,-70,-37,-26,17
2020-03-29,Virginia,Carroll County,-15,12,,-16,-19,4
2020-03-29,Virginia,Charles City County,,,,,-34,
2020-03-29,Virginia,Charlotte County,-20,20,,,-28,
2020-03-29,Virginia,Charlottesville,-68,-30,-39,-58,-49,15
2020-03-29,Virginia,Chesapeake,-35,-18,35,-18,-36,9
2020-03-29,Virginia,Chesterfield County,-40,-21,27,-19,-39,10
2020-03-29,Virginia,Clarke County,-43,-19,,,-36,
2020-03-29,Virginia,Colonial Heights,-46,-26,,,-34,
2020-03-29,Virginia,Covington,-27,-9,,,-26,
2020-03-29,Virginia,Craig County,,,,,-24,
2020-03-29,Virginia,Culpeper County,-33,-12,,,-28,16
2020-03-29,Virginia,Cumberland County,-62,-24,,,-28,
2020-03-29,Virginia,Danville,-35,-9,,-14,-35,11
2020-03-29,Virginia,Dickenson County,-14,-11,,,-29,
2020-03-29,Virginia,Dinwiddie County,35,-29,,,-24,14
2020-03-29,Virginia,Emporia,-41,-6,,-20,-16,
2020-03-29,Virginia,Essex County,-18,10,,,-28,
2020-03-29,Virginia,Fairfax,-65,-40,-26,,-51,3
2020-03-29,Virginia,Fairfax County,-49,-24,15,-46,-46,15
2020-03-29,Virginia,Falls Church,-70,-39,,,-74,
2020-03-29,Virginia,Fauquier County,-29,-34,,,-32,20
2020-03-29,Virginia,Floyd County,-32,9,,,-29,
2020-03-29,Virginia,Fluvanna County,-79,-31,,,-34,-1
2020-03-29,Virginia,Franklin,-11,22,,-14,-25,
2020-03-29,Virginia,Franklin County,-16,-7,,,-28,13
2020-03-29,Virginia,Frederick County,-37,-26,-7,-33,-29,13
2020-03-29,Virginia,Fredericksburg,-51,-29,10,-67,-39,0
2020-03-29,Virginia,Galax,-26,15,,,-32,
2020-03-29,Virginia,Giles County,-19,0,,,-16,
2020-03-29,Virginia,Gloucester County,-27,12,,,-26,15
2020-03-29,Virginia,Goochland County,-43,-22,,,-38,
2020-03-29,Virginia,Grayson County,,,,,-18,
2020-03-29,Virginia,Greene County,-18,-15,,,-33,
2020-03-29,Virginia,Greensville County,,,,-24,-18,
2020-03-29,Virginia,Halifax County,-24,-11,,,-28,12
2020-03-29,Virginia,Hampton,-34,-6,117,-8,-32,10
2020-03-29,Virginia,Hanover County,-37,-23,,-25,-38,20
2020-03-29,Virginia,Harrisonburg,-51,-20,,-24,-36,16
2020-03-29,Virginia,Henrico County,-42,-22,28,-71,-36,11
2020-03-29,Virginia,Henry County,-17,-9,,,-28,11
2020-03-29,Virginia,Hopewell,-31,-4,,,-29,11
2020-03-29,Virginia,Isle of Wight County,-26,-11,,,-33,18
2020-03-29,Virginia,James City County,-59,-2,-2,,-47,19
2020-03-29,Virginia,King George County,-31,-37,,-28,-31,0
2020-03-29,Virginia,King William County,-13,-7,,,-20,
2020-03-29,Virginia,King and Queen County,,,,,-29,
2020-03-29,Virginia,Lancaster County,-9,-2,,,-25,
2020-03-29,Virginia,Lee County,-18,10,,,-13,
2020-03-29,Virginia,Lexington,-61,-14,,,,
2020-03-29,Virginia,Loudoun County,-50,-24,-11,-80,-44,15
2020-03-29,Virginia,Louisa County,-22,-13,,,-32,17
2020-03-29,Virginia,Lunenburg County,,-2,,,-29,
2020-03-29,Virginia,Lynchburg,-45,-18,,-9,-35,9
2020-03-29,Virginia,Madison County,-53,-34,,,-36,
2020-03-29,Virginia,Manassas,-35,-16,,-41,-34,19
2020-03-29,Virginia,Manassas Park,-49,-6,,,-33,
2020-03-29,Virginia,Martinsville,-36,1,,,-35,
2020-03-29,Virginia,Mathews County,-64,-2,,,-33,
2020-03-29,Virginia,Mecklenburg County,-23,1,2,-26,-16,5
2020-03-29,Virginia,Middlesex County,-44,12,,,-31,
2020-03-29,Virginia,Montgomery County,-53,-18,,-26,-35,9
2020-03-29,Virginia,Nelson County,-42,1,,,-38,
2020-03-29,Virginia,New Kent County,-22,-5,,-40,-41,
2020-03-29,Virginia,Newport News,-37,-10,55,-32,-31,9
2020-03-29,Virginia,Norfolk,-36,-8,37,-56,-31,9
2020-03-29,Virginia,Northampton County,-32,-22,,,-14,
2020-03-29,Virginia,Northumberland County,-31,-18,,,-24,
2020-03-29,Virginia,Norton,-29,,,,,
2020-03-29,Virginia,Nottoway County,-30,38,,,-11,
2020-03-29,Virginia,Orange County,-25,-15,,,-23,11
2020-03-29,Virginia,Page County,-14,3,-17,,-33,
2020-03-29,Virginia,Patrick County,-18,25,,,-17,
2020-03-29,Virginia,Petersburg,-23,-9,,-20,-25,13
2020-03-29,Virginia,Pittsylvania County,-15,-9,,,-31,12
2020-03-29,Virginia,Poquoson,-16,-9,,,-44,
2020-03-29,Virginia,Portsmouth,-20,-10,53,3,-34,9
2020-03-29,Virginia,Powhatan County,-26,-28,,,-37,8
2020-03-29,Virginia,Prince Edward County,-35,-19,,,-32,
2020-03-29,Virginia,Prince George County,-29,-31,,-32,-28,17
2020-03-29,Virginia,Prince William County,-45,-22,30,-27,-40,13
2020-03-29,Virginia,Pulaski County,-13,1,,,-31,13
2020-03-29,Virginia,Radford,-59,-11,,,-33,
2020-03-29,Virginia,Rappahannock County,,,,,-28,
2020-03-29,Virginia,Richmond,-47,-11,83,-19,-37,10
2020-03-29,Virginia,Richmond County,-34,-25,,,-19,
2020-03-29,Virginia,Roanoke,-44,-7,49,-43,-33,8
2020-03-29,Virginia,Roanoke County,-29,-15,,,-40,10
2020-03-29,Virginia,Rockbridge County,-28,,,-20,-27,
2020-03-29,Virginia,Rockingham County,-29,-10,-7,-22,-27,9
2020-03-29,Virginia,Russell County,-22,-14,,,-15,
2020-03-29,Virginia,Salem,-33,-5,,,-30,-1
2020-03-29,Virginia,Scott County,-18,-2,,,-26,
2020-03-29,Virginia,Shenandoah County,-27,-10,,-22,-32,16
2020-03-29,Virginia,Smyth County,-21,2,,,-14,4
2020-03-29,Virginia,Southampton County,-27,4,,,-29,
2020-03-29,Virginia,Spotsylvania County,-42,-17,,,-40,10
2020-03-29,Virginia,Stafford County,-32,-29,99,,-40,12
2020-03-29,Virginia,Staunton,-33,-15,,,-32,0
2020-03-29,Virginia,Suffolk,-32,-7,-16,-9,-29,9
2020-03-29,Virginia,Surry County,,,,,-36,
2020-03-29,Virginia,Sussex County,-38,18,,-48,-17,
2020-03-29,Virginia,Tazewell County,-22,6,,,-30,10
2020-03-29,Virginia,Virginia Beach,-37,-13,38,-3,-36,9
2020-03-29,Virginia,Warren County,-23,-11,,,-32,18
2020-03-29,Virginia,Washington County,-42,-11,,-26,-24,11
2020-03-29,Virginia,Waynesboro,-32,-12,,,-21,-1
2020-03-29,Virginia,Westmoreland County,-32,20,,,-31,
2020-03-29,Virginia,Williamsburg,-63,-41,,,-48,
2020-03-29,Virginia,Winchester,-51,-16,-37,,-33,9
2020-03-29,Virginia,Wise County,-11,4,,,-20,6
2020-03-29,Virginia,Wythe County,-39,-17,,-4,-26,-2
2020-03-29,Virginia,York County,-31,-20,31,,-43,23
2020-03-29,Washington,Total,-48,-26,-11,-56,-41,13
2020-03-29,Washington,Adams County,-31,4,,-31,-27,
2020-03-29,Washington,Asotin County,-33,,,,-31,7
2020-03-29,Washington,Benton County,-47,-23,3,-12,-39,10
2020-03-29,Washington,Chelan County,-43,-20,-15,-27,-43,18
2020-03-29,Washington,Clallam County,-42,-27,-20,-29,-35,18
2020-03-29,Washington,Clark County,-46,-28,-3,-38,-41,13
2020-03-29,Washington,Cowlitz County,-40,-20,-23,-34,-35,11
2020-03-29,Washington,Douglas County,-53,-19,,-39,-40,17
2020-03-29,Washington,Ferry County,,,,,-40,
2020-03-29,Washington,Franklin County,-35,-15,-16,-59,-33,12
2020-03-29,Washington,Grant County,-36,-8,10,-46,-29,8
2020-03-29,Washington,Grays Harbor County,-40,-18,-16,-26,-37,14
2020-03-29,Washington,Island County,-34,-25,-12,-53,-42,21
2020-03-29,Washington,Jefferson County,-62,-31,-9,-58,-40,2
2020-03-29,Washington,King County,-57,-30,0,-66,-47,15
2020-03-29,Washington,Kitsap County,-45,-27,12,-62,-43,12
2020-03-29,Washington,Kittitas County,-56,-32,-43,-22,-45,19
2020-03-29,Washington,Klickitat County,-56,-3,,,-36,
2020-03-29,Washington,Lewis County,-49,-21,-37,-32,-34,11
2020-03-29,Washington,Lincoln County,,,,,-37,
2020-03-29,Washington,Mason County,-28,-25,1,,-38,20
2020-03-29,Washington,Okanogan County,-29,2,,,-37,9
2020-03-29,Washington,Pacific County,-56,-24,-27,,-41,
2020-03-29,Washington,Pend Oreille County,-67,-6,,,-41,
2020-03-29,Washington,Pierce County,-46,-22,-17,-31,-39,12
2020-03-29,Washington,San Juan County,-61,-32,,-43,-45,
2020-03-29,Washington,Skagit County,-47,-25,0,-51,-42,12
2020-03-29,Washington,Skamania County,-65,,-57,,-40,
2020-03-29,Washington,Snohomish County,-47,-30,-2,-48,-45,14
2020-03-29,Washington,Spokane County,-44,-20,9,-45,-38,11
2020-03-29,Washington,Stevens County,-30,-7,0,,-33,16
2020-03-29,Washington,Thurston County,-47,-28,-32,-36,-38,12
2020-03-29,Washington,Walla Walla County,-42,-21,,-47,-40,18
2020-03-29,Washington,Whatcom County,-57,-34,-11,-69,-44,13
2020-03-29,Washington,Whitman County,-46,-25,,,-47,23
2020-03-29,Washington,Yakima County,-36,-13,0,-21,-33,9
2020-03-29,West Virginia,Total,-38,-16,52,-31,-33,8
2020-03-29,West Virginia,Barbour County,-47,-9,,,-16,
2020-03-29,West Virginia,Berkeley County,-35,-20,-9,-55,-32,9
2020-03-29,West Virginia,Boone County,-40,-13,,,-20,
2020-03-29,West Virginia,Braxton County,-31,,,-30,-38,
2020-03-29,West Virginia,Brooke County,-31,-10,,,-24,
2020-03-29,West Virginia,Cabell County,-47,-20,,-37,-34,9
2020-03-29,West Virginia,Fayette County,-21,-9,,,-26,7
2020-03-29,West Virginia,Grant County,-51,9,,,-25,
2020-03-29,West Virginia,Greenbrier County,-40,-16,,,-41,0
2020-03-29,West Virginia,Hampshire County,-26,-1,,,-20,
2020-03-29,West Virginia,Hancock County,-37,-1,,,-32,10
2020-03-29,West Virginia,Hardy County,-29,-13,,,-23,
2020-03-29,West Virginia,Harrison County,-43,-18,-24,-47,-31,19
2020-03-29,West Virginia,Jackson County,-33,-32,,-11,-33,
2020-03-29,West Virginia,Jefferson County,-39,-39,17,,-43,20
2020-03-29,West Virginia,Kanawha County,-44,-14,-2,-43,-33,8
2020-03-29,West Virginia,Lewis County,-33,-7,,,-40,
2020-03-29,West Virginia,Lincoln County,,,,,-39,
2020-03-29,West Virginia,Logan County,-32,-16,,,-24,
2020-03-29,West Virginia,Marion County,-38,-21,,,-34,20
2020-03-29,West Virginia,Marshall County,-29,-18,,,-27,1
2020-03-29,West Virginia,Mason County,-36,-8,,,-28,
2020-03-29,West Virginia,McDowell County,,-13,,,-18,
2020-03-29,West Virginia,Mercer County,-44,-16,-36,-30,-35,15
2020-03-29,West Virginia,Mineral County,-28,-4,,,-24,-2
2020-03-29,West Virginia,Mingo County,-63,,,,-37,
2020-03-29,West Virginia,Monongalia County,-48,-23,60,-35,-44,25
2020-03-29,West Virginia,Monroe County,,,,,-32,
2020-03-29,West Virginia,Morgan County,-38,-19,,,-34,
2020-03-29,West Virginia,Nicholas County,-28,-12,,,-30,
2020-03-29,West Virginia,Ohio County,-40,11,-34,-19,-38,16
2020-03-29,West Virginia,Pleasants County,-50,,,,-40,
2020-03-29,West Virginia,Pocahontas County,-74,,4,,-55,
2020-03-29,West Virginia,Preston County,-36,-5,,,-25,
2020-03-29,West Virginia,Putnam County,-33,-16,,-9,-41,21
2020-03-29,West Virginia,Raleigh County,-42,-24,,-35,-37,15
2020-03-29,West Virginia,Randolph County,-27,-9,,,-17,
2020-03-29,West Virginia,Ritchie County,-49,,,,-45,
2020-03-29,West Virginia,Roane County,-25,,,,-42,
2020-03-29,West Virginia,Summers County,4,,,,-39,
2020-03-29,West Virginia,Taylor County,-13,-32,,,-41,
2020-03-29,West Virginia,Tucker County,,-14,,,-37,
2020-03-29,West Virginia,Tyler County,,,,,-29,
2020-03-29,West Virginia,Upshur County,-28,-24,,,-25,
2020-03-29,West Virginia,Wayne County,-1,-10,,,-28,0
2020-03-29,West Virginia,Webster County,,,,,-38,
2020-03-29,West Virginia,Wetzel County,-39,-15,,,-31,
2020-03-29,West Virginia,Wood County,-40,-12,-21,,-31,9
2020-03-29,West Virginia,Wyoming County,-66,,,,-32,
2020-03-29,Wisconsin,Total,-55,-30,-12,-50,-34,13
2020-03-29,Wisconsin,Adams County,-62,-16,,,-36,
2020-03-29,Wisconsin,Ashland County,-54,-44,,,-37,
2020-03-29,Wisconsin,Barron County,-47,-38,,,-31,17
2020-03-29,Wisconsin,Bayfield County,-69,-33,,,-37,
2020-03-29,Wisconsin,Brown County,-56,-31,-26,-77,-31,13
2020-03-29,Wisconsin,Buffalo County,-74,-12,,,-26,
2020-03-29,Wisconsin,Burnett County,-62,-24,,,-34,
2020-03-29,Wisconsin,Calumet County,-71,-29,193,,-33,25
2020-03-29,Wisconsin,Chippewa County,-52,-34,,,-28,19
2020-03-29,Wisconsin,Clark County,-79,-29,,,-25,16
2020-03-29,Wisconsin,Columbia County,-54,-29,,-37,-31,21
2020-03-29,Wisconsin,Crawford County,-44,-26,,,-19,
2020-03-29,Wisconsin,Dane County,-68,-38,-25,-67,-43,15
2020-03-29,Wisconsin,Dodge County,-48,-32,-9,,-21,13
2020-03-29,Wisconsin,Door County,-54,-28,,,-33,-2
2020-03-29,Wisconsin,Douglas County,-54,-40,,,-33,20
2020-03-29,Wisconsin,Dunn County,-49,-35,,-14,-32,19
2020-03-29,Wisconsin,Eau Claire County,-59,-35,-22,-36,-32,14
2020-03-29,Wisconsin,Florence County,-73,,,,,
2020-03-29,Wisconsin,Fond du Lac County,-54,-36,-13,-21,-31,12
2020-03-29,Wisconsin,Forest County,-84,,,,-40,
2020-03-29,Wisconsin,Grant County,-47,-24,,,-27,19
2020-03-29,Wisconsin,Green County,-53,-22,,,-31,22
2020-03-29,Wisconsin,Green Lake County,-36,-22,,,-25,
2020-03-29,Wisconsin,Iowa County,-54,-44,,,-35,2
2020-03-29,Wisconsin,Iron County,-86,,,,-42,
2020-03-29,Wisconsin,Jackson County,-50,-19,,-12,-38,
2020-03-29,Wisconsin,Jefferson County,-52,-28,-11,-62,-30,14
2020-03-29,Wisconsin,Juneau County,-64,-33,,-29,-32,13
2020-03-29,Wisconsin,Kenosha County,-61,-33,-23,-56,-34,12
2020-03-29,Wisconsin,Kewaunee County,-57,-17,,,-23,
2020-03-29,Wisconsin,La Crosse County,-56,-28,-4,-38,-35,13
2020-03-29,Wisconsin,Lafayette County,-85,-7,,,-22,
2020-03-29,Wisconsin,Langlade County,-46,-30,,,-24,
2020-03-29,Wisconsin,Lincoln County,-50,-36,,,-32,13
2020-03-29,Wisconsin,Manitowoc County,-51,-19,11,,-21,15
2020-03-29,Wisconsin,Marathon County,-54,-32,-50,,-32,13
2020-03-29,Wisconsin,Marinette County,-49,-25,-15,,-25,15
2020-03-29,Wisconsin,Marquette County,-65,-25,,,-27,
2020-03-29,Wisconsin,Milwaukee County,-55,-28,-9,-57,-38,13
2020-03-29,Wisconsin,Monroe County,-46,-33,,-17,-26,19
2020-03-29,Wisconsin,Oconto County,-69,-22,-58,,-25,16
2020-03-29,Wisconsin,Oneida County,-54,-47,-50,,-32,17
2020-03-29,Wisconsin,Outagamie County,-61,-35,-41,-62,-33,13
2020-03-29,Wisconsin,Ozaukee County,-59,-35,11,,-37,27
2020-03-29,Wisconsin,Pepin County,-64,,,,-29,
2020-03-29,Wisconsin,Pierce County,-73,-21,,,-35,23
2020-03-29,Wisconsin,Polk County,-43,-26,-33,,-33,21
2020-03-29,Wisconsin,Portage County,-52,-34,-18,,-38,22
2020-03-29,Wisconsin,Price County,-67,-31,,,-33,
2020-03-29,Wisconsin,Racine County,-52,-28,-11,-37,-32,12
2020-03-29,Wisconsin,Richland County,-44,,,,-25,
2020-03-29,Wisconsin,Rock County,-52,-30,-15,-36,-34,11
2020-03-29,Wisconsin,Rusk County,-49,-39,,,-25,
2020-03-29,Wisconsin,Sauk County,-66,-29,-30,-50,-48,22
2020-03-29,Wisconsin,Sawyer County,-45,-37,,,-43,
2020-03-29,Wisconsin,Shawano County,-48,-35,,,-33,19
2020-03-29,Wisconsin,Sheboygan County,-47,-28,4,-23,-26,11
2020-03-29,Wisconsin,St. Croix County,-53,-35,-21,-39,-34,24
2020-03-29,Wisconsin,Taylor County,-50,-21,,,-2,
2020-03-29,Wisconsin,Trempealeau County,-59,-28,,,-26,15
2020-03-29,Wisconsin,Vernon County,-54,-28,,,-35,4
2020-03-29,Wisconsin,Vilas County,-83,-28,-46,,-51,
2020-03-29,Wisconsin,Walworth County,-49,-28,-33,,-39,12
2020-03-29,Wisconsin,Washburn County,-37,-59,,,-39,
2020-03-29,Wisconsin,Washington County,-49,-29,-22,-31,-36,13
2020-03-29,Wisconsin,Waukesha County,-58,-35,-23,-44,-40,14
2020-03-29,Wisconsin,Waupaca County,-50,-26,-25,,-24,19
2020-03-29,Wisconsin,Waushara County,-56,-1,,,-35,4
2020-03-29,Wisconsin,Winnebago County,-54,-32,-11,-41,-32,13
2020-03-29,Wisconsin,Wood County,-43,-31,,,-31,15
2020-03-29,Wyoming,Total,-37,-13,29,-14,-29,8
2020-03-29,Wyoming,Albany County,-42,-27,-4,1,-29,16
2020-03-29,Wyoming,Big Horn County,-35,-7,,,-29,
2020-03-29,Wyoming,Campbell County,-32,-2,,-7,-22,17
2020-03-29,Wyoming,Carbon County,-30,-14,,-15,-35,
2020-03-29,Wyoming,Converse County,-42,-3,,-35,-22,
2020-03-29,Wyoming,Crook County,,,,,-38,
2020-03-29,Wyoming,Fremont County,-31,-17,,,-27,15
2020-03-29,Wyoming,Goshen County,-24,-17,,,-26,
2020-03-29,Wyoming,Hot Springs County,-67,-22,-56,,,
2020-03-29,Wyoming,Johnson County,-38,-2,,,-30,
2020-03-29,Wyoming,Laramie County,-39,-20,26,-16,-28,10
2020-03-29,Wyoming,Lincoln County,-30,-5,,,-35,
2020-03-29,Wyoming,Natrona County,-36,-8,64,-29,-29,9
2020-03-29,Wyoming,Park County,-35,10,,,-31,5
2020-03-29,Wyoming,Platte County,-35,-5,,-43,-31,
2020-03-29,Wyoming,Sheridan County,-34,7,,,-26,13
2020-03-29,Wyoming,Sublette County,-70,-24,,,-36,
2020-03-29,Wyoming,Sweetwater County,-33,-9,,6,-22,15
2020-03-29,Wyoming,Teton County,-83,-50,-57,-80,-70,
2020-03-29,Wyoming,Uinta County,-29,2,,1,-18,
2020-03-29,Wyoming,Washakie County,-17,-7,,,-32,
2020-03-29,Wyoming,Weston County,-57,-24,,,-34,
