date,country,region,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
2020-04-11,Italy,Sicily,-83,-41,-82,-79,-60,24
2020-04-11,Italy,Trentino-South Tyrol,-88,-53,-88,-80,-59,25
2020-04-11,Italy,Tuscany,-85,-44,-82,-75,-62,27
2020-04-11,Italy,Umbria,-86,-39,-76,-71,-60,27
2020-04-11,Italy,Veneto,-87,-38,-86,-82,-62,27
2020-04-11,Bangladesh,Total,-76,-55,-34,-72,-58,25
2020-04-11,Malta,Total,-71,-11,-41,-51,-50,20
2020-04-11,Bulgaria,Total,-55,-19,-38,-46,-28,9
2020-04-11,Bulgaria,Blagoevgrad Province,-65,-31,-36,-43,-37,9
2020-04-11,Bulgaria,Burgas,-51,-12,-44,-38,-28,10
2020-04-11,Bulgaria,Dobrich Province,-48,-11,-29,,-22,11
2020-04-11,Bulgaria,Gabrovo,-57,-12,-24,,-27,12
2020-04-11,Bulgaria,Haskovo Province,-53,-9,-10,-50,-25,8
2020-04-11,Bulgaria,Jambol,-47,-23,-53,,-24,12
2020-04-11,Bulgaria,Kardzhali Province,-57,-32,-33,-65,-33,12
2020-04-11,Bulgaria,Kyustendil Province,-50,-27,-28,-46,-29,12
2020-04-11,Bulgaria,Lovec,-61,-18,-4,,-25,11
2020-04-11,Bulgaria,Montana Province,-47,-8,4,-58,-15,9
2020-04-11,Bulgaria,Pazardzhik,-55,-21,-32,-39,-27,9
2020-04-11,Bulgaria,Pernik,-46,-15,-46,,-23,14
2020-04-11,Bulgaria,Pleven Province,-53,-22,-16,,-26,7
2020-04-11,Bulgaria,Plovdiv Province,-59,-18,-53,-46,-31,11
2020-04-11,Bulgaria,Razgrad,-36,-27,,,-20,11
2020-04-11,Bulgaria,Ruse,-52,-19,-17,-59,-28,7
2020-04-11,Bulgaria,Shumen Province,-51,-20,-39,-48,-22,14
2020-04-11,Bulgaria,Silistra,-49,-16,,,-10,-3
2020-04-11,Bulgaria,Sliven Province,-54,-20,-29,-51,-26,14
2020-04-11,Bulgaria,Smoljan,-66,-68,-24,,-32,2
2020-04-11,Bulgaria,Sofia City Province,-59,-22,-50,-53,-32,13
2020-04-11,Bulgaria,Sofia Province,-46,-18,-25,,-29,9
2020-04-11,Bulgaria,Stara Zagora,-53,-19,-34,10,-22,8
2020-04-11,Bulgaria,Targovishte Province,-46,-16,,,-21,2
2020-04-11,Bulgaria,Varna,-54,-15,-44,-63,-29,10
2020-04-11,Bulgaria,Veliko Tarnovo Province,-57,-26,-30,-41,-25,6
2020-04-11,Bulgaria,Vidin,-62,-29,,,-17,
2020-04-11,Bulgaria,Vraca,-45,-16,4,-38,-19,12
2020-04-11,India,Total,-80,-55,-52,-69,-64,30
2020-04-11,Tanzania,Total,-23,-6,-15,-16,-17,7
2020-04-11,Belize,Total,-76,-50,-64,-81,-68,27
2020-04-11,Rwanda,Total,-62,-56,-14,-72,-37,25
2020-04-11,Slovakia,Total,-79,-12,-4,-56,-39,12
2020-04-11,Slovakia,Banská Bystrica Region,-84,-15,9,-49,-34,10
2020-04-11,Slovakia,Bratislava Region,-79,-5,20,-59,-40,14
2020-04-11,Slovakia,Košice Region,-77,-12,56,-54,-38,12
2020-04-11,Slovakia,Nitra Region,-78,-16,27,-48,-36,12
2020-04-11,Slovakia,Prešov Region,-85,-24,-65,-73,-42,12
2020-04-11,Slovakia,Trenčín Region,-78,-10,4,-54,-39,11
2020-04-11,Slovakia,Trnava Region,-77,-10,64,-66,-40,13
2020-04-11,Slovakia,Žilina Region,-82,-14,-29,-58,-41,11
2020-04-11,United Arab Emirates,Total,-64,-32,-77,-79,-45,24
2020-04-11,United Arab Emirates,Abu Dhabi,-54,-21,-71,-76,-33,20
2020-04-11,United Arab Emirates,Ajman,-49,-27,-81,-48,-37,21
2020-04-11,United Arab Emirates,Dubai,-78,-44,-81,-81,-56,30
2020-04-11,United Arab Emirates,Fujairah,-43,-26,-45,,-22,16
2020-04-11,United Arab Emirates,Ras al Khaimah,-45,-20,-47,-60,-26,16
2020-04-11,United Arab Emirates,Sharjah,-49,-26,-85,-73,-39,21
2020-04-11,United Arab Emirates,Umm Al Quawain,-39,-15,,,-23,19
2020-04-11,Spain,Total,-92,-44,-85,-84,-63,26
2020-04-11,Spain,Andalusia,-92,-47,-83,-85,-62,25
2020-04-11,Spain,Aragon,-93,-40,-82,-85,-64,25
2020-04-11,Spain,Asturias,-93,-34,-84,-75,-61,26
2020-04-11,Spain,Balearic Islands,-90,-41,-86,-87,-64,27
2020-04-11,Spain,Basque Country,-92,-33,-88,-82,-63,26
2020-04-11,Spain,Canary Islands,-93,-47,-91,-86,-66,25
2020-04-11,Spain,Cantabria,-93,-42,-89,-83,-61,27
2020-04-11,Spain,Castile and León,-93,-47,-85,-84,-61,25
2020-04-11,Spain,Castile-La Mancha,-91,-43,-84,-83,-61,25
2020-04-11,Spain,Catalonia,-92,-45,-86,-83,-66,27
2020-04-11,Spain,Ceuta,-95,-49,-87,,-66,4
2020-04-11,Spain,Community of Madrid,-94,-45,-90,-87,-68,27
2020-04-11,Spain,Extremadura,-92,-48,-76,-81,-57,24
2020-04-11,Spain,Galicia,-90,-38,-81,-84,-58,27
2020-04-11,Spain,La Rioja,-95,-41,-88,-89,-65,27
2020-04-11,Spain,Melilla,-89,-48,-85,-88,-61,-2
2020-04-11,Spain,Navarre,-93,-32,-86,-87,-62,28
2020-04-11,Spain,Region of Murcia,-90,-38,-83,-75,-56,25
2020-04-11,Spain,Valencian Community,-92,-45,-86,-86,-64,27
2020-04-11,Guatemala,Total,-79,-67,-66,-83,-64,29
2020-04-11,Colombia,Total,-84,-65,-77,-81,-69,32
2020-04-11,Colombia,Amazonas Department,-87,-46,-67,,-37,
2020-04-11,Colombia,Antioquia,-85,-61,-77,-82,-70,32
2020-04-11,Colombia,Arauca,-86,-88,-74,-64,-66,12
2020-04-11,Colombia,Atlantico,-84,-64,-79,-86,-71,30
2020-04-11,Colombia,Bogota,-85,-61,-75,-81,-72,36
2020-04-11,Colombia,Bolivar,-86,-69,-84,-90,-68,27
2020-04-11,Colombia,Boyaca,-86,-77,-82,-84,-67,33
2020-04-11,Colombia,Caldas,-86,-69,-75,-92,-65,29
2020-04-11,Colombia,Caquetá,-75,-59,-69,,-58,26
2020-04-11,Colombia,Casanare,-80,-61,-71,-67,-60,31
2020-04-11,Colombia,Cauca,-80,-61,-70,-71,-58,28
2020-04-11,Colombia,Cesar,-84,-62,-72,-81,-60,26
2020-04-11,Colombia,Choco,-79,-78,-53,-89,-57,15
2020-04-11,Colombia,Cordoba,-83,-66,-65,-75,-62,25
2020-04-11,Colombia,Cundinamarca,-83,-71,-79,-79,-65,35
2020-04-11,Colombia,Guaviare,-84,-86,-64,,-43,
2020-04-11,Colombia,Huila,-87,-80,-78,,-67,30
2020-04-11,Colombia,La Guajira,-77,-59,-65,-76,-54,21
2020-04-11,Colombia,Magdalena,-79,-57,-81,-88,-59,24
2020-04-11,Colombia,Meta,-81,-64,-70,-63,-61,31
2020-04-11,Colombia,Narino,-84,-68,-71,-75,-64,29
2020-04-11,Colombia,North Santander,-90,-82,-80,-90,-74,32
2020-04-11,Colombia,Putumayo,-72,-53,-62,-77,-47,20
2020-04-11,Colombia,Quindio,-87,-69,-84,-84,-70,31
2020-04-11,Colombia,Risaralda,-86,-67,-83,-86,-72,33
2020-04-11,Colombia,San Andrés and Providencia,-91,-85,-85,-84,-69,
2020-04-11,Colombia,Santander,-90,-86,-83,-87,-75,33
2020-04-11,Colombia,Sucre,-92,-91,-84,-100,-72,30
2020-04-11,Colombia,Tolima,-86,-66,-72,-87,-64,29
2020-04-11,Colombia,Valle del Cauca,-83,-60,-79,-78,-68,30
2020-04-11,Colombia,Vichada,-67,,-45,,-58,
2020-04-11,Tajikistan,Total,-9,-8,-14,-15,15,0
2020-04-11,Paraguay,Total,-75,-53,-71,-81,-59,32
2020-04-11,Canada,Total,-54,-15,-22,-63,-47,17
2020-04-11,Canada,Alberta,-52,-13,-44,-64,-45,16
2020-04-11,Canada,British Columbia,-51,-17,21,-58,-48,15
2020-04-11,Canada,Manitoba,-42,0,-42,-55,-38,15
2020-04-11,Canada,New Brunswick,-48,-15,-40,-57,-41,15
2020-04-11,Canada,Newfoundland and Labrador,-45,-7,-28,-63,-43,14
2020-04-11,Canada,Northwest Territories,-53,-41,,-49,-38,
2020-04-11,Canada,Nova Scotia,-55,-21,-55,-62,-46,16
2020-04-11,Canada,Nunavut,-36,,,,-28,
2020-04-11,Canada,Ontario,-54,-9,-20,-62,-48,16
2020-04-11,Canada,Prince Edward Island,-50,-5,-51,,-42,19
2020-04-11,Canada,Quebec,-64,-27,-38,-67,-49,19
2020-04-11,Canada,Saskatchewan,-50,-11,-33,-58,-40,15
2020-04-11,Canada,Yukon,-41,-26,,,-38,
2020-04-11,Aruba,Total,-71,-18,-52,-76,-64,
2020-04-11,Bolivia,Total,-84,-67,-77,-83,-71,36
2020-04-11,Mongolia,Total,-8,15,14,-3,-1,0
2020-04-11,Ecuador,Total,-91,-83,-86,-87,-76,37
2020-04-11,Cote d'Ivoire,Total,-32,-19,-21,-33,-12,15
2020-04-11,France,Total,-86,-39,-74,-79,-55,23
2020-04-11,France,Auvergne-Rhône-Alpes,-86,-42,-71,-83,-54,24
2020-04-11,France,Bourgogne-Franche-Comté,-86,-44,-64,-83,-51,22
2020-04-11,France,Brittany,-86,-40,-65,-78,-49,23
2020-04-11,France,Centre-Val de Loire,-84,-42,-73,-82,-53,22
2020-04-11,France,Corsica,-85,-38,-65,-71,-51,19
2020-04-11,France,Grand Est,-85,-41,-67,-79,-55,22
2020-04-11,France,Hauts-de-France,-85,-36,-71,-78,-53,22
2020-04-11,France,Normandy,-86,-38,-70,-82,-53,22
2020-04-11,France,Nouvelle-Aquitaine,-85,-38,-70,-79,-51,23
2020-04-11,France,Occitanie,-85,-40,-68,-80,-53,22
2020-04-11,France,Pays de la Loire,-86,-41,-71,-82,-52,24
2020-04-11,France,Provence-Alpes-Côte d'Azur,-84,-36,-75,-78,-55,22
2020-04-11,France,Île-de-France,-87,-38,-87,-79,-63,25
2020-04-11,Mali,Total,-22,-17,-10,-33,-4,10
2020-04-11,Namibia,Total,-55,-32,-41,-71,-38,18
2020-04-11,Japan,Total,-30,4,3,-48,-22,12
2020-04-11,Japan,Aichi,-28,4,7,-52,-20,12
2020-04-11,Japan,Akita,-10,6,52,-30,-14,7
2020-04-11,Japan,Aomori,-19,2,2,-33,-13,7
2020-04-11,Japan,Chiba,-34,3,17,-53,-26,13
2020-04-11,Japan,Ehime,-21,5,15,-35,-13,8
2020-04-11,Japan,Fukui,-33,2,19,-44,-23,12
2020-04-11,Japan,Fukuoka,-33,0,-6,-60,-26,13
2020-04-11,Japan,Fukushima,-18,3,46,-38,-17,9
2020-04-11,Japan,Gifu,-31,4,-12,-48,-21,12
2020-04-11,Japan,Gunma,-23,-1,7,-47,-17,10
2020-04-11,Japan,Hiroshima,-29,2,-9,-48,-18,11
2020-04-11,Japan,Hokkaido,-17,3,-8,-39,-12,7
2020-04-11,Japan,Hyogo,-31,7,7,-51,-24,12
2020-04-11,Japan,Ibaraki,-20,2,8,-48,-17,10
2020-04-11,Japan,Ishikawa,-25,7,-2,-50,-20,10
2020-04-11,Japan,Iwate,-11,7,36,-33,-13,7
2020-04-11,Japan,Kagawa,-19,6,9,-39,-15,7
2020-04-11,Japan,Kagoshima,-13,7,10,-34,-9,6
2020-04-11,Japan,Kanagawa,-37,4,10,-52,-30,15
2020-04-11,Japan,Kochi,-29,-1,-9,-32,-18,10
2020-04-11,Japan,Kumamoto,-20,4,-1,-34,-14,9
2020-04-11,Japan,Kyoto,-32,3,-11,-55,-22,11
2020-04-11,Japan,Mie,-20,6,-12,-49,-14,9
2020-04-11,Japan,Miyagi,-30,3,30,-52,-20,10
2020-04-11,Japan,Miyazaki,-17,4,0,-36,-13,8
2020-04-11,Japan,Nagano,-27,0,4,-50,-16,10
2020-04-11,Japan,Nagasaki,-18,5,-6,-40,-13,8
2020-04-11,Japan,Nara,-17,12,5,-44,-19,9
2020-04-11,Japan,Niigata,-13,3,39,-42,-18,8
2020-04-11,Japan,Oita,-20,2,-9,-36,-16,9
2020-04-11,Japan,Okayama,-16,5,21,-41,-16,8
2020-04-11,Japan,Okinawa,-34,-6,-38,-54,-16,12
2020-04-11,Japan,Osaka,-40,3,3,-56,-28,13
2020-04-11,Japan,Saga,-18,1,-17,-42,-14,10
2020-04-11,Japan,Saitama,-29,6,14,-54,-26,13
2020-04-11,Japan,Shiga,-20,8,33,-48,-17,9
2020-04-11,Japan,Shimane,-21,7,-4,-31,-16,8
2020-04-11,Japan,Shizuoka,-26,5,0,-53,-18,10
2020-04-11,Japan,Tochigi,-26,1,0,-50,-16,10
2020-04-11,Japan,Tokushima,-18,6,13,-30,-11,7
2020-04-11,Japan,Tokyo,-52,1,-6,-59,-37,17
2020-04-11,Japan,Tottori,-19,9,2,-38,-14,7
2020-04-11,Japan,Toyama,-25,6,22,-42,-19,10
2020-04-11,Japan,Wakayama,-22,6,12,-39,-14,8
2020-04-11,Japan,Yamagata,-24,0,40,-45,-23,11
2020-04-11,Japan,Yamaguchi,-16,5,6,-33,-15,8
2020-04-11,Japan,Yamanashi,-26,-1,-18,-52,-17,11
2020-04-11,Nigeria,Total,-52,-35,-41,-48,-27,19
2020-04-11,Nigeria,Abia,-42,-17,-1,-35,-7,6
2020-04-11,Nigeria,Adamawa,-32,-11,,,-18,3
2020-04-11,Nigeria,Akwa Ibom,-55,-42,-51,-75,-30,24
2020-04-11,Nigeria,Anambra,-41,-44,-27,-50,-28,12
2020-04-11,Nigeria,Bauchi,3,-4,-9,,8,
2020-04-11,Nigeria,Bayelsa,-23,-6,1,,11,
2020-04-11,Nigeria,Benue,-25,-5,-46,,-14,4
2020-04-11,Nigeria,Borno,2,-11,-25,-15,-14,0
2020-04-11,Nigeria,Cross River,-23,-26,-18,-35,-8,15
2020-04-11,Nigeria,Delta,-57,-49,-29,-52,-27,22
2020-04-11,Nigeria,Ebonyi,-26,-20,,,-5,
2020-04-11,Nigeria,Edo,-47,-26,-15,-39,-15,12
2020-04-11,Nigeria,Ekiti,-50,-52,,-56,-9,7
2020-04-11,Nigeria,Enugu,-49,-32,-40,-42,-28,12
2020-04-11,Nigeria,Federal Capital Territory,-58,-36,-56,-79,-37,24
2020-04-11,Nigeria,Gombe,-14,-12,,,-8,
2020-04-11,Nigeria,Imo,-46,-37,-14,-52,-14,11
2020-04-11,Nigeria,Jigawa,-35,,,,4,
2020-04-11,Nigeria,Kaduna,-59,-41,-30,-48,-25,19
2020-04-11,Nigeria,Kano,-17,-15,-7,-25,-4,4
2020-04-11,Nigeria,Katsina,-2,-6,-9,,3,
2020-04-11,Nigeria,Kebbi,-12,,,,-4,
2020-04-11,Nigeria,Kogi,-37,-6,,,-4,-4
2020-04-11,Nigeria,Kwara,-71,-69,-32,-72,-40,24
2020-04-11,Nigeria,Lagos,-67,-50,-64,-51,-45,28
2020-04-11,Nigeria,Nasarawa,-36,-21,,,-19,18
2020-04-11,Nigeria,Niger,-22,-8,-28,,-9,7
2020-04-11,Nigeria,Ogun State,-31,-11,-23,-31,-23,17
2020-04-11,Nigeria,Ondo,-32,-28,-27,-14,-6,8
2020-04-11,Nigeria,Osun,-50,-41,-17,-48,-28,12
2020-04-11,Nigeria,Oyo,-39,-27,-25,-30,-15,12
2020-04-11,Nigeria,Plateau,-59,-51,-25,-65,-41,5
2020-04-11,Nigeria,Rivers,-29,-11,-14,-39,-7,13
2020-04-11,Nigeria,Sokoto,10,-25,,,-1,
2020-04-11,Nigeria,Taraba,-20,,,,-5,
2020-04-11,Nigeria,Yobe,-9,17,,,0,
2020-04-11,Nigeria,Zamfara,51,-57,-13,,10,
2020-04-11,South Korea,Total,-16,10,17,-13,-7,6
2020-04-11,Haiti,Total,-38,-25,-18,-57,-26,10
2020-04-11,Fiji,Total,-47,-29,-35,-55,-37,19
2020-04-11,Portugal,Total,-78,-40,-73,-77,-58,26
2020-04-11,Portugal,Aveiro District,-77,-38,-74,-80,-57,28
2020-04-11,Portugal,Azores,-76,-36,-57,-85,-48,28
2020-04-11,Portugal,Beja District,-81,-48,-63,,-45,25
2020-04-11,Portugal,Braga,-76,-35,-76,-70,-57,29
2020-04-11,Portugal,Bragança District,-79,-47,-50,-65,-54,18
2020-04-11,Portugal,Castelo Branco District,-76,-42,-66,-73,-52,29
2020-04-11,Portugal,Coimbra District,-77,-39,-83,-78,-54,26
2020-04-11,Portugal,Faro District,-79,-45,-75,-83,-57,25
2020-04-11,Portugal,Guarda District,-79,-43,-77,-81,-49,25
2020-04-11,Portugal,Leiria District,-79,-40,-81,-79,-55,27
2020-04-11,Portugal,Lisbon,-80,-41,-73,-79,-62,27
2020-04-11,Portugal,Madeira,-85,-50,-81,-78,-66,29
2020-04-11,Portugal,Portalegre District,-82,-48,-66,,-46,20
2020-04-11,Portugal,Porto District,-79,-38,-76,-77,-60,29
2020-04-11,Portugal,Santarém District,-79,-42,-68,-83,-50,24
2020-04-11,Portugal,Setubal,-77,-39,-65,-72,-59,26
2020-04-11,Portugal,Viana do Castelo District,-78,-50,-74,-72,-54,27
2020-04-11,Portugal,Vila Real District,-80,-48,-65,-63,-51,31
2020-04-11,Portugal,Viseu District,-76,-42,-56,-52,-52,24
2020-04-11,Portugal,Évora District,-80,-46,-80,-85,-52,31
2020-04-11,Peru,Total,-81,-51,-72,-81,-67,34
2020-04-11,Peru,Amazonas,-84,-81,-57,-73,-37,
2020-04-11,Peru,Ancash,-77,-50,-61,-86,-58,30
2020-04-11,Peru,Apurimac,-69,-50,-62,-70,-46,9
2020-04-11,Peru,Arequipa,-79,-54,-68,-73,-66,35
2020-04-11,Peru,Ayacucho,-70,-34,-64,-85,-51,31
2020-04-11,Peru,Cajamarca,-73,-43,-64,-85,-55,30
2020-04-11,Peru,Callao Region,-75,-48,-71,-90,-70,34
2020-04-11,Peru,Cusco,-84,-63,-72,-84,-61,37
2020-04-11,Peru,Huancavelica,-78,,-49,-69,-32,
2020-04-11,Peru,Huanuco,-76,-53,-67,-83,-53,29
2020-04-11,Peru,Ica,-74,-40,-70,-88,-58,32
2020-04-11,Peru,Junin,-76,-52,-58,-81,-58,33
2020-04-11,Peru,La Libertad,-82,-47,-69,-81,-64,33
2020-04-11,Peru,Lambayeque,-82,-59,-68,-89,-66,32
2020-04-11,Peru,Lima Region,-75,-51,-73,-85,-51,29
2020-04-11,Peru,Loreto,-81,-58,-69,-69,-57,31
2020-04-11,Peru,Madre de Dios,-64,-41,-64,-60,-45,0
2020-04-11,Peru,Metropolitan Municipality of Lima,-84,-51,-80,-81,-74,37
2020-04-11,Peru,Moquegua,-65,-50,-70,-90,-50,33
2020-04-11,Peru,Pasco,-73,-53,-48,-79,-41,
2020-04-11,Peru,Piura,-76,-52,-66,-84,-58,30
2020-04-11,Peru,Puno,-71,-52,-56,-75,-52,31
2020-04-11,Peru,San Martin,-74,-40,-55,-78,-54,28
2020-04-11,Peru,Tacna,-81,-51,-74,-83,-64,34
2020-04-11,Peru,Tumbes,-69,-47,-70,-87,-57,10
2020-04-11,Peru,Ucayali,-67,-7,-55,-84,-53,28
2020-04-11,Thailand,Total,-51,-21,-57,-63,-22,17
2020-04-11,Chile,Total,-75,-51,-74,-67,-56,26
2020-04-11,Chile,Antofagasta,-62,-47,-69,-58,-43,21
2020-04-11,Chile,Araucania,-86,-70,-78,-85,-61,31
2020-04-11,Chile,Arica y Parinacota,-73,-41,-76,-66,-50,23
2020-04-11,Chile,Atacama,-64,-43,-63,-75,-37,24
2020-04-11,Chile,Aysén,-75,-44,-73,-88,-45,13
2020-04-11,Chile,Bio Bio,-78,-55,-77,-76,-58,29
2020-04-11,Chile,Coquimbo,-79,-59,-81,-73,-51,24
2020-04-11,Chile,Los Lagos,-77,-55,-71,-69,-56,26
2020-04-11,Chile,Los Ríos,-80,-56,-79,-71,-54,26
2020-04-11,Chile,Magallanes and Chilean Antarctica,-87,-75,-82,-87,-68,25
2020-04-11,Chile,Maule,-73,-52,-71,-65,-50,27
2020-04-11,Chile,O'Higgins,-69,-49,-69,-61,-49,25
2020-04-11,Chile,Santiago Metropolitan Region,-75,-43,-64,-66,-59,27
2020-04-11,Chile,Tarapacá,-74,-45,-78,-58,-49,25
2020-04-11,Chile,Valparaíso,-75,-58,-82,-68,-52,24
2020-04-11,Chile,Ñuble,-83,-73,-73,-91,-71,17
2020-04-11,Pakistan,Total,-65,-47,-36,-55,-48,19
2020-04-11,Uganda,Total,-68,-51,-20,-70,-49,30
2020-04-11,Afghanistan,Total,-46,-32,-12,-50,-38,16
2020-04-11,North Macedonia,Total,-95,-95,-79,-93,-82,28
2020-04-11,Egypt,Total,-67,-18,-42,-62,-45,16
2020-04-11,Egypt,Al Qalyubia Governorate,-56,-8,-35,-48,-46,17
2020-04-11,Egypt,Alexandria Governorate,-69,-21,-41,-60,-46,18
2020-04-11,Egypt,Ash Sharqia Governorate,-51,1,-34,-48,-38,14
2020-04-11,Egypt,Assiut Governorate,-61,-15,-43,-50,-37,13
2020-04-11,Egypt,Aswan Governorate,-64,-32,5,-69,-36,15
2020-04-11,Egypt,Beni Suef Governorate,-54,-2,-64,-53,-39,14
2020-04-11,Egypt,Cairo Governorate,-75,-28,-56,-65,-51,18
2020-04-11,Egypt,Dakahlia Governorate,-58,-7,4,-55,-44,13
2020-04-11,Egypt,Damietta Governorate,-62,-24,-54,,-51,17
2020-04-11,Egypt,El Beheira Governorate,-53,13,-18,-48,-37,14
2020-04-11,Egypt,Faiyum Governorate,-51,6,-42,,-38,14
2020-04-11,Egypt,Gharbia Governorate,-60,-14,-60,-64,-45,15
2020-04-11,Egypt,Giza Governorate,-71,-18,-58,-58,-48,18
2020-04-11,Egypt,Ismailia Governorate,-64,-18,-43,-51,-43,16
2020-04-11,Egypt,Kafr El Sheikh Governorate,-49,1,-37,-62,-38,12
2020-04-11,Egypt,Luxor Governorate,-59,-27,-60,-91,-37,15
2020-04-11,Egypt,Matrouh Governorate,-44,-8,36,,-32,5
2020-04-11,Egypt,Menia Governorate,-53,8,-52,-53,-38,13
2020-04-11,Egypt,Menofia Governorate,-56,7,-32,-53,-39,15
2020-04-11,Egypt,New Valley Governorate,-2,,,,-25,
2020-04-11,Egypt,North Sinai Governorate,-8,,,,-32,
2020-04-11,Egypt,Port Said Governorate,-68,-22,-51,-63,-49,21
2020-04-11,Egypt,Qena Governorate,-58,10,,-55,-38,13
2020-04-11,Egypt,Red Sea Governorate,-79,-38,-78,-86,-52,23
2020-04-11,Egypt,Sohag Governorate,-57,5,-35,-62,-37,12
2020-04-11,Egypt,South Sinai Governorate,-86,-69,-74,-89,-48,18
2020-04-11,Egypt,Suez Governorate,-55,19,42,,-34,15
2020-04-11,Nepal,Total,-77,-68,-55,-71,-50,21
2020-04-11,Kazakhstan,Total,-58,-36,-28,-43,-44,14
2020-04-11,El Salvador,Total,-84,-66,-76,-80,-72,33
2020-04-11,Switzerland,Total,-77,11,27,-47,-41,15
2020-04-11,Switzerland,Aargau,-74,19,99,-32,-36,15
2020-04-11,Switzerland,Appenzell Ausserrhoden,-62,13,,-21,-33,
2020-04-11,Switzerland,Appenzell Innerrhoden,-80,,,,-84,
2020-04-11,Switzerland,Basel City,-83,3,2,-63,-37,21
2020-04-11,Switzerland,Basel-Landschaft,-74,20,110,-33,-37,20
2020-04-11,Switzerland,Canton of Bern,-76,10,25,-50,-36,14
2020-04-11,Switzerland,Canton of Zug,-68,46,,-40,-44,22
2020-04-11,Switzerland,Fribourg,-74,20,48,-37,-41,17
2020-04-11,Switzerland,Geneva,-80,-8,12,-74,-49,19
2020-04-11,Switzerland,Glarus,-87,-6,,5,-35,
2020-04-11,Switzerland,Grisons,-85,-15,-35,-65,-49,14
2020-04-11,Switzerland,Jura,-82,12,,-34,-40,14
2020-04-11,Switzerland,Lucerne,-73,24,13,-47,-39,15
2020-04-11,Switzerland,Neuchâtel,-70,8,-18,-37,-47,23
2020-04-11,Switzerland,Nidwalden,-62,0,-5,-50,-46,
2020-04-11,Switzerland,Obwalden,-83,-4,-49,-40,-40,
2020-04-11,Switzerland,Schaffhausen,-63,30,,-34,-39,2
2020-04-11,Switzerland,Schwyz,-58,34,55,-26,-36,17
2020-04-11,Switzerland,Solothurn,-68,20,100,-42,-35,14
2020-04-11,Switzerland,St. Gallen,-74,27,119,-25,-36,13
2020-04-11,Switzerland,Thurgau,-71,24,74,-29,-24,13
2020-04-11,Switzerland,Ticino,-83,-21,-18,-50,-50,20
2020-04-11,Switzerland,Uri,-74,0,,-54,-48,
2020-04-11,Switzerland,Valais,-85,-8,-35,-60,-52,18
2020-04-11,Switzerland,Vaud,-80,7,17,-49,-46,18
2020-04-11,Switzerland,Zurich,-78,20,96,-55,-43,15
2020-04-11,Lebanon,Total,-65,-31,-45,-78,-48,16
2020-04-11,Hong Kong,Total,-31,-4,-21,-41,-38,19
2020-04-11,Myanmar,Total,-66,-49,-24,-64,-48,22
2020-04-11,Trinidad and Tobago,Total,-70,-32,-63,-77,-53,22
2020-04-11,United Kingdom,Total,-81,-32,-37,-70,-57,19
2020-04-11,United Kingdom,Aberdeen City,-85,-25,-2,-64,-61,30
2020-04-11,United Kingdom,Aberdeenshire,-75,-35,-25,-54,-53,28
2020-04-11,United Kingdom,Angus council,-78,-27,-24,-50,-58,20
2020-04-11,United Kingdom,Antrim And Newtownabbey,-69,-23,-56,-77,-56,30
2020-04-11,United Kingdom,Ards And North Down,-72,-18,-55,-60,-58,29
2020-04-11,United Kingdom,Argyll and Bute Council,-80,-37,-55,-64,-52,8
2020-04-11,United Kingdom,Armagh City and Banbridge And Craigavon,-72,-17,-66,-55,-47,18
2020-04-11,United Kingdom,Bath and North East Somerset,-91,-38,-54,-74,-64,29
2020-04-11,United Kingdom,Bedford,-82,-34,-26,-63,-56,33
2020-04-11,United Kingdom,Belfast,-79,-22,-49,-73,-60,19
2020-04-11,United Kingdom,Blackburn with Darwen,-80,-30,,-62,-53,24
2020-04-11,United Kingdom,Blackpool,-84,-30,-48,-59,-55,26
2020-04-11,United Kingdom,Blaenau Gwent,-66,-27,,-33,-44,12
2020-04-11,United Kingdom,Borough of Halton,-71,-34,-32,-49,-54,25
2020-04-11,United Kingdom,Bracknell Forest,-78,-27,-32,-65,-59,31
2020-04-11,United Kingdom,Bridgend County Borough,-83,-21,-43,-61,-56,25
2020-04-11,United Kingdom,Brighton and Hove,-87,-35,-43,-73,-63,33
2020-04-11,United Kingdom,Buckinghamshire,-79,-33,-23,-68,-58,20
2020-04-11,United Kingdom,Caerphilly County Borough,-73,-26,-40,-50,-51,29
2020-04-11,United Kingdom,Cambridgeshire,-83,-34,-32,-76,-57,19
2020-04-11,United Kingdom,Cardiff,-84,-32,-47,-79,-60,20
2020-04-11,United Kingdom,Carmarthenshire,-76,-17,-52,-56,-54,28
2020-04-11,United Kingdom,Causeway Coast and Glens,-80,-22,-65,-58,-55,28
2020-04-11,United Kingdom,Central Bedfordshire,-79,-30,-5,-68,-58,19
2020-04-11,United Kingdom,Ceredigion,-87,-32,-60,-67,-57,6
2020-04-11,United Kingdom,Cheshire East,-80,-32,-49,-74,-58,19
2020-04-11,United Kingdom,Cheshire West and Chester,-86,-34,-48,-73,-58,19
2020-04-11,United Kingdom,City of Bristol,-87,-36,-9,-78,-59,21
2020-04-11,United Kingdom,Clackmannanshire,-88,-23,,-47,-50,6
2020-04-11,United Kingdom,Conwy Principal Area,-81,-33,-57,-61,-57,22
2020-04-11,United Kingdom,Cornwall,-81,-38,-49,-55,-55,17
2020-04-11,United Kingdom,County Durham,-76,-28,-35,-52,-55,18
